session_id,unit_id,subject,cell_type,n_spikes,firing_rate
BWRat17_121712,1,BWRat17,Excitatory,6349,1.0478012923817799
BWRat17_121712,2,BWRat17,Excitatory,270,0.0445591981324745
BWRat17_121712,3,BWRat17,Excitatory,1427,0.2355036138334856
BWRat17_121712,4,BWRat17,Excitatory,10131,1.6719601343707375
BWRat17_121712,5,BWRat17,Excitatory,126,0.020794292461821434
BWRat17_121712,6,BWRat17,Excitatory,326,0.053801105893284025
BWRat17_121712,7,BWRat17,Excitatory,3595,0.5932974714305401
BWRat17_121712,8,BWRat17,Excitatory,1649,0.27214117674240906
BWRat17_121712,9,BWRat17,Excitatory,7215,1.1907207945400131
BWRat17_121912,1,BWRat17,Excitatory,1681,0.25724258777902137
BWRat17_121912,2,BWRat17,Excitatory,6776,1.0369278850628487
BWRat17_121912,3,BWRat17,Excitatory,338,0.05172397065396147
BWRat17_121912,4,BWRat17,Excitatory,5588,0.8551288402791026
BWRat17_121912,5,BWRat17,Excitatory,2396,0.3666586795470168
BWRat17_121912,6,BWRat17,Excitatory,5636,0.862474256229961
BWRat17_121912,7,BWRat17,Excitatory,4908,0.7510687809752747
BWRat17_121912,8,BWRat17,Excitatory,1242,0.19006263772846196
BWRat17_121912,9,BWRat17,Excitatory,4052,0.6200755298516327
BWRat18_020513,1,BWRat18,Excitatory,3879,0.5110368176205179
BWRat18_020513,2,BWRat18,Excitatory,4006,0.5277683659159047
BWRat18_020513,3,BWRat18,Excitatory,171,0.02252830518512724
BWRat18_020513,4,BWRat18,Excitatory,2791,0.36769882907421125
BWRat18_020513,5,BWRat18,Excitatory,7036,0.9269541244593874
BWRat18_020513,6,BWRat18,Excitatory,6002,0.7907303375504894
BWRat18_020513,8,BWRat18,Excitatory,10292,1.3559141343001726
BWRat18_020513,9,BWRat18,Excitatory,6437,0.8480391840740586
BWRat18_020513,10,BWRat18,Excitatory,8083,1.064890589540254
BWRat18_020513,11,BWRat18,Excitatory,6041,0.7958683720663956
BWRat18_020513,12,BWRat18,Inhibitory,48765,6.424519312004268
BWRat18_020513,13,BWRat18,Excitatory,4931,0.6496320050752188
BWRat18_020513,14,BWRat18,Excitatory,1664,0.2192228060119984
BWRat18_020513,15,BWRat18,Inhibitory,11136,1.4671064710033739
BWRat18_020513,16,BWRat18,Inhibitory,9387,1.2366853846361952
BWRat19_032413,1,BWRat19,Inhibitory,45923,9.160066502286261
BWRat19_032413,2,BWRat19,Excitatory,908,0.18111491810369368
BWRat19_032413,3,BWRat19,Excitatory,695,0.1386287093414836
BWRat19_032413,4,BWRat19,Excitatory,18994,3.788652813283654
BWRat19_032413,5,BWRat19,Excitatory,1098,0.21901341418266043
BWRat19_032413,6,BWRat19,Excitatory,496,0.09893502134298686
BWRat19_032413,7,BWRat19,Inhibitory,19187,3.8271497066691307
BWRat19_032413,8,BWRat19,Excitatory,711,0.14182016164287028
BWRat19_032413,9,BWRat19,Excitatory,2688,0.536163986632961
BWRat19_032413,10,BWRat19,Excitatory,536,0.10691365209645354
BWRat19_032413,11,BWRat19,Excitatory,16714,3.333870860336053
BWRat19_032413,12,BWRat19,Excitatory,2014,0.40172405843704745
BWRat19_032413,13,BWRat19,Inhibitory,13106,2.6141983663733583
BWRat19_032413,14,BWRat19,Excitatory,647,0.12905435243732358
BWRat19_032413,15,BWRat19,Excitatory,4510,0.8995906174533684
BWRat19_032513,1,BWRat19,Excitatory,9924,2.5259672371817183
BWRat19_032513,2,BWRat19,Excitatory,5700,1.450827615068097
BWRat19_032513,3,BWRat19,Excitatory,452,0.11504808456329471
BWRat19_032513,4,BWRat19,Excitatory,2731,0.6951245994299953
BWRat19_032513,5,BWRat19,Excitatory,5108,1.3001451680294456
BWRat19_032513,6,BWRat19,Inhibitory,38179,9.717745178190329
BWRat19_032513,7,BWRat19,Excitatory,132,0.03359811319105067
BWRat19_032513,8,BWRat19,Excitatory,3931,1.0005619920759103
BWRat19_032513,9,BWRat19,Inhibitory,35106,8.935570921856248
BWRat19_032513,10,BWRat19,Excitatory,425,0.10817574322876163
BWRat19_032513,11,BWRat19,Excitatory,1977,0.5032081043841452
BWRat19_032513,12,BWRat19,Excitatory,3445,0.8768598480543148
