pred,true
GoC,PkC_ss
GoC,MLI
PkC_ss,PkC_cs
MLI,PkC_ss
GoC,MLI
MFB,GoC
PkC_ss,PkC_cs
MLI,PkC_ss
MLI,MFB
GoC,PkC_ss
MFB,GoC
MFB,GoC
GoC,MLI
MFB,GoC
MFB,GoC
MFB,GoC
MFB,GoC
MFB,MFB
PkC_ss,GoC
MFB,GoC
MFB,GoC
PkC_ss,GoC
GoC,PkC_ss
GoC,PkC_ss
MFB,GoC
MFB,GoC
PkC_ss,PkC_cs
GoC,MFB
GoC,GoC
PkC_ss,PkC_cs
GoC,PkC_ss
MLI,PkC_ss
PkC_cs,MFB
GoC,MFB
MFB,GoC
GoC,MFB
PkC_cs,MFB
GoC,MFB
MLI,PkC_ss
GoC,PkC_ss
GoC,MFB
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
MFB,GoC
PkC_ss,PkC_cs
GoC,GoC
GoC,GoC
MLI,PkC_ss
MFB,GoC
MFB,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
GoC,MFB
MFB,GoC
MFB,GoC
GoC,MLI
PkC_ss,PkC_cs
GoC,MFB
PkC_cs,MFB
GoC,PkC_ss
PkC_ss,PkC_cs
MFB,GoC
PkC_ss,GoC
MFB,GoC
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
MFB,GoC
MFB,GoC
GoC,PkC_ss
GoC,GoC
GoC,PkC_ss
PkC_ss,PkC_cs
MFB,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_ss
GoC,PkC_ss
MFB,MLI
PkC_ss,PkC_cs
MFB,GoC
PkC_cs,MFB
MLI,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,MLI
GoC,PkC_ss
GoC,PkC_ss
MLI,PkC_ss
MFB,GoC
PkC_ss,PkC_cs
MFB,GoC
PkC_ss,PkC_ss
GoC,MFB
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
PkC_ss,PkC_cs
MLI,MFB
PkC_ss,PkC_cs
GoC,PkC_ss
GoC,PkC_ss
GoC,MFB
MLI,PkC_ss
MLI,MLI
MFB,MFB
MFB,GoC
MFB,GoC
MFB,GoC
PkC_ss,GoC
PkC_ss,GoC
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
GoC,PkC_ss
MFB,PkC_cs
MFB,GoC
PkC_ss,PkC_cs
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
PkC_ss,PkC_cs
GoC,PkC_ss
PkC_ss,PkC_cs
MFB,GoC
MLI,MFB
