session_id,unit_id,subject,cell_type,n_spikes,firing_rate
128514_20191215-probe0,0,128514,Excitatory,11893,2.3961318739272386
128514_20191215-probe0,1,128514,Excitatory,21831,4.398381816169641
128514_20191215-probe0,2,128514,Excitatory,39292,7.9163216673967085
128514_20191215-probe0,3,128514,Excitatory,1255,0.25285003798694056
128514_20191215-probe0,4,128514,Excitatory,23115,4.6570746040383515
128514_20191215-probe0,5,128514,Excitatory,1152,0.23209820219996458
128514_20191215-probe0,6,128514,Inhibitory,18493,3.7258611573645357
128514_20191215-probe0,7,128514,Excitatory,2567,0.5171841016035669
128514_20191215-probe0,8,128514,Excitatory,10418,2.098957526492388
128514_20191215-probe0,9,128514,Excitatory,25905,5.2191874374913905
128514_20191215-probe0,10,128514,Excitatory,23753,4.7856151014372905
128514_20191215-probe0,11,128514,Excitatory,18251,3.6771044169718348
128514_20191215-probe0,12,128514,Excitatory,27928,5.626769610278308
128514_20191215-probe0,13,128514,Excitatory,1056,0.21275668534996753
128514_20191215-probe0,14,128514,Excitatory,1426,0.2873021148759978
128514_20191215-probe0,15,128514,Excitatory,9809,1.9762597789752192
128514_20191215-probe0,16,128514,Inhibitory,21969,4.426185246641512
128514_20191215-probe0,17,128514,Excitatory,9243,1.8622254192137784
128514_20191215-probe0,18,128514,Excitatory,1932,0.38924802660619057
128514_20191215-probe0,19,128514,Inhibitory,9970,2.0086971145257353
128514_20191215-probe0,20,128514,Excitatory,21906,4.413492376208701
128514_20191215-probe0,21,128514,Excitatory,23622,4.759221989902398
128514_20191215-probe0,22,128514,Excitatory,30359,6.116553229677712
128514_20191215-probe0,23,128514,Inhibitory,11895,2.3965348221949467
128514_20191215-probe0,24,128514,Excitatory,38213,7.698931076968096
128514_20191215-probe0,25,128514,Excitatory,2141,0.43135612058170497
128514_20191215-probe0,26,128514,Excitatory,33033,6.655295063603671
128514_20191215-probe0,27,128514,Excitatory,10725,2.1608100855856076
128514_20191215-probe0,28,128514,Excitatory,11308,2.278269505622569
128514_20191215-probe0,29,128514,Excitatory,2852,0.5746042297519957
128514_20191215-probe0,30,128514,Excitatory,2867,0.5776263417598076
128514_20191215-probe0,31,128514,Inhibitory,1963,0.3954937247556688
128514_20191215-probe0,32,128514,Excitatory,2782,0.5605010403822062
128514_20191215-probe0,33,128514,Excitatory,31796,6.406071560026105
128514_20191215-probe0,34,128514,Excitatory,16934,3.4117629826859375
128514_20191215-probe0,35,128514,Excitatory,1288,0.25949868440412704
128514_20191215-probe0,36,128514,Excitatory,7064,1.4232132815456162
128514_20191215-probe0,37,128514,Inhibitory,2536,0.5109384034540887
128514_20191215-probe0,38,128514,Excitatory,13306,2.6808148250631323
128514_20191215-probe0,39,128514,Excitatory,905,0.182334091137993
128514_20191215-probe0,40,128514,Excitatory,4817,0.9705009027753727
128514_20191215-probe0,41,128514,Excitatory,9288,1.8712917552372144
128514_20191215-probe0,42,128514,Inhibitory,4844,0.9759407043894344
128514_20191215-probe0,43,128514,Excitatory,1287,0.2592972102702729
128514_20191215-probe0,44,128514,Excitatory,79620,16.041370537466303
128514_20191215-probe0,45,128514,Excitatory,1170,0.23572473660933901
128514_20191215-probe0,46,128514,Excitatory,13146,2.6485789636464707
128514_20191215-probe0,47,128514,Excitatory,6707,1.3512870157596897
128514_20191215-probe0,48,128514,Excitatory,2677,0.5393462563275219
128514_20191215-probe0,49,128514,Excitatory,3442,0.6934739687259358
128514_20191215-probe0,50,128514,Excitatory,5242,1.0561274096633804
128514_20191215-probe0,51,128514,Excitatory,9467,1.9073556251971047
128514_20191215-probe0,52,128514,Excitatory,3120,0.6285992976249041
128514_20191215-probe0,53,128514,Excitatory,3823,0.7702356137243616
128514_20191215-probe0,54,128514,Excitatory,17380,3.5016204463848823
128514_20191215-probe0,55,128514,Excitatory,4112,0.8284616384082069
128514_20191215-probe0,56,128514,Excitatory,9710,1.9563138397236597
128514_20191215-probe0,57,128514,Inhibitory,58011,11.687715979012278
128514_20191215-probe0,58,128514,Excitatory,10809,2.177733912829355
128514_20191215-probe0,59,128514,Excitatory,17534,3.532647462998419
128514_20191215-probe0,60,128514,Inhibitory,30787,6.202784158967282
128514_20191215-probe0,61,128514,Excitatory,8169,1.6458421994544363
128514_20191215-probe0,62,128514,Excitatory,60342,12.15735218502627
128514_20191215-probe0,64,128514,Excitatory,2860,0.5762160228228287
128514_20191215-probe0,65,128514,Excitatory,20182,4.066150969444171
128514_20191215-probe0,67,128514,Excitatory,6740,1.3579356621768761
128514_20191215-probe0,68,128514,Excitatory,2712,0.5463978510124166
128514_20191215-probe0,69,128514,Inhibitory,1682,0.3388794931426566
128514_20191215-probe0,70,128514,Excitatory,27949,5.631000567089245
128514_20191215-probe0,71,128514,Excitatory,2446,0.49280573140721645
128514_20191215-probe0,72,128514,Excitatory,4585,0.9237589037212132
128514_20191215-probe0,73,128514,Excitatory,18221,3.6710601929562103
128514_20191215-probe0,74,128514,Excitatory,40617,8.183274894753438
128514_20191215-probe0,75,128514,Excitatory,6326,1.2745253707612638
128514_20191215-probe0,76,128514,Excitatory,11734,2.3640974866444306
128514_20191215-probe0,77,128514,Inhibitory,20653,4.161045286489469
128514_20191215-probe0,78,128514,Excitatory,14384,2.898003941357891
128514_20191215-probe0,79,128514,Excitatory,557,0.11222109255675371
128514_20191215-probe0,80,128514,Excitatory,4118,0.8296704832113317
128514_20191215-probe0,81,128514,Excitatory,5394,1.0867514780092091
128514_20191215-probe0,82,128514,Excitatory,5751,1.1586777437951357
128514_20191215-probe0,84,128514,Excitatory,37446,7.544400416301974
128514_20191215-probe0,85,128514,Excitatory,13073,2.633871351875119
128514_20191215-probe0,86,128514,Excitatory,28317,5.7051430483475665
128514_20191215-probe0,87,128514,Excitatory,32332,6.514061695771923
128514_20191215-probe0,88,128514,Excitatory,92840,18.704858587017977
128514_20191215-probe0,89,128514,Excitatory,4145,0.8351102848253934
128514_20191215-probe0,90,128514,Excitatory,4601,0.9269824898628793
128514_20191215-probe0,91,128514,Excitatory,549,0.11060929948592062
128514_20191215-probe0,92,128514,Excitatory,1230,0.2478131846405872
